State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Sri Sathya Sai,Gorantla  APMC,Maize,Hybrid/Local,FAQ,22/08/2026,2100.0,2400.0,2200.0
Andhra Pradesh,Prakasam,Maddipadu APMC,Paddy(Common),B P T,FAQ,22/08/2026,2800.0,2800.0,2800.0
Keralam,Kozhikode(Calicut),Perambra Market,Cauliflower,Cauliflower,FAQ,22/08/2026,4000.0,5000.0,4500.0
Keralam,Kozhikode(Calicut),Perambra Market,Onion,Other,FAQ,22/08/2026,5000.0,5200.0,5000.0
Andhra Pradesh,Annamayya,Somala APMC,Tomato,Tomato,FAQ,22/08/2026,800.0,1200.0,1000.0
Keralam,Kannur,Thalasserry Market,Banana,Other,Large,22/08/2026,6200.0,7300.0,6700.0
Keralam,Kannur,Thalasserry Market,Bhindi(Ladies Finger),Other,FAQ,22/08/2026,4500.0,5600.0,5000.0
Haryana,Sonipat,Ganaur APMC,Cauliflower,Other,Medium,22/08/2026,6000.0,8000.0,7000.0
Haryana,Sonipat,Ganaur APMC,Brinjal,Brinjal,Medium,22/08/2026,3000.0,4000.0,3500.0
Keralam,Kollam,Anchal Market,Brinjal,Brinjal,Local,22/08/2026,4700.0,4700.0,4700.0
Keralam,Kollam,Anchal Market,Onion,Big,Local,22/08/2026,3700.0,3700.0,3700.0
Rajasthan,Jalore,Jalore APMC,Cabbage,Cabbage,Local,22/08/2026,1500.0,2000.0,1800.0
Keralam,Kottayam,Kottayam Market,Bengal Gram(Gram)(Whole),Bengal Gram (Split),FAQ,22/08/2026,7000.0,8000.0,7500.0
Odisha,Bolangir,Kantabaji APMC,Tomato,Other,Grade B,22/08/2026,3000.0,4000.0,3500.0
Keralam,Kottayam,Thalayolaparambu Market,Banana,Banana - Ripe,Medium,22/08/2026,6800.0,7200.0,7000.0
Keralam,Kottayam,Thalayolaparambu Market,Banana - Green,Banana - Green,FAQ,22/08/2026,3600.0,4000.0,3800.0
Keralam,Kottayam,Thalayolaparambu Market,Brinjal,Brinjal,FAQ,22/08/2026,5800.0,6200.0,6000.0
Keralam,Kottayam,Thalayolaparambu Market,Bhindi(Ladies Finger),Bhindi,FAQ,22/08/2026,5800.0,6200.0,6000.0
Keralam,Kottayam,Thalayolaparambu Market,Cabbage,Cabbage,FAQ,22/08/2026,3400.0,3700.0,3500.0
Keralam,Kottayam,Thalayolaparambu Market,Brinjal,Other,FAQ,22/08/2026,4000.0,4300.0,4100.0
Keralam,Alappuzha,Harippad Market,Onion,Big,FAQ,22/08/2026,4500.0,5000.0,4500.0
Keralam,Alappuzha,Harippad Market,Cabbage,Cabbage,FAQ,22/08/2026,4500.0,5000.0,4500.0
Keralam,Alappuzha,Harippad Market,Onion,Small,FAQ,22/08/2026,8000.0,8500.0,8000.0
Keralam,Kottayam,Kuruppanthura Market,Bhindi(Ladies Finger),Other,FAQ,22/08/2026,4800.0,5000.0,4900.0
Keralam,Ernakulam,Perumbavoor Market,Carrot,Carrot,Medium,22/08/2026,6500.0,8000.0,7200.0
Keralam,Ernakulam,Perumbavoor Market,Green Chilli,Green Chilly,Medium,22/08/2026,4500.0,6000.0,5000.0
Keralam,Ernakulam,Perumbavoor Market,Banana,Poovan,Medium,22/08/2026,5400.0,7000.0,6000.0
Keralam,Palakad,Pattambi Market,Banana - Green,Banana - Green,FAQ,22/08/2026,6000.0,7000.0,6500.0
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Potato,Other,Local,22/08/2026,4000.0,6000.0,5000.0
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Cauliflower,Ranchi,Local,22/08/2026,2500.0,3000.0,2750.0
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ),Cabbage,Cabbage,Local,22/08/2026,2000.0,2500.0,2250.0
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,22/08/2026,2500.0,3000.0,2750.0
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ),Brinjal,Other,Local,22/08/2026,4000.0,4400.0,4200.0
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Potato,Red Nanital,Local,22/08/2026,2600.0,2800.0,2700.0
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Onion Green,Onion Green,Local,22/08/2026,5500.0,6000.0,5750.0
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Brinjal,Other,Local,22/08/2026,3000.0,3400.0,3200.0
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,22/08/2026,2800.0,3000.0,2900.0
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Onion,Bellary,Local,22/08/2026,5500.0,6000.0,5750.0
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Tomato,Deshi,Local,22/08/2026,2000.0,2400.0,2200.0
Tamil Nadu,Dindigul,Chinnalapatti(Uzhavar Sandhai ),Carrot,Pusakesar,Local,22/08/2026,7000.0,9000.0,8000.0
Tamil Nadu,Dindigul,Dindigul(Uzhavar Sandhai ),Onion Green,Onion Green,Local,22/08/2026,5000.0,6000.0,5500.0
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,22/08/2026,3600.0,4000.0,3800.0
Tamil Nadu,Erode,Periyar Nagar(Uzhavar Sandhai ),Onion Green,Onion Green,Local,22/08/2026,5500.0,6000.0,5750.0
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Banana,Besrai,Local,22/08/2026,4000.0,4000.0,4000.0
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,22/08/2026,3000.0,3000.0,3000.0
Tamil Nadu,Kancheepuram,Kancheepuram(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,22/08/2026,3000.0,3500.0,3250.0
Tamil Nadu,Kancheepuram,Padappai(Uzhavar Sandhai ),Onion,Bellary,Local,22/08/2026,3500.0,4200.0,3850.0
Tamil Nadu,Kancheepuram,Padappai(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,22/08/2026,3000.0,3500.0,3250.0
Tamil Nadu,Kancheepuram,Padappai(Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,22/08/2026,3500.0,5000.0,4250.0
Tamil Nadu,Kancheepuram,Padappai(Uzhavar Sandhai ),Carrot,Pusakesar,Local,22/08/2026,3500.0,5000.0,4250.0
Tamil Nadu,Kancheepuram,Padappai(Uzhavar Sandhai ),Cabbage,Cabbage,Local,22/08/2026,2000.0,2500.0,2250.0
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Onion,Bellary,Local,22/08/2026,5500.0,6000.0,5750.0
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Potato,Red Nanital,Local,22/08/2026,2000.0,2500.0,2250.0
Tamil Nadu,Krishnagiri,Avallapalli(Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,22/08/2026,4500.0,5000.0,4750.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Banana,Karpura,Local,22/08/2026,6500.0,7000.0,6750.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Onion,Bellary,Local,22/08/2026,5000.0,5500.0,5250.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Potato,Other,Local,22/08/2026,2600.0,2800.0,2700.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Tomato,Local,Local,22/08/2026,1800.0,2000.0,1900.0
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ),Onion,Bellary,Local,22/08/2026,5500.0,6000.0,5750.0
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ),Potato,Red Nanital,Local,22/08/2026,2000.0,2500.0,2250.0
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ),Bhindi(Ladies Finger),Bhindi,Local,22/08/2026,3000.0,3500.0,3250.0
